nrcrt,denst,cod,dat,durs
217,VF. OMU,527527,2021-02-09 00,4.5
218,VF. OMU,527527,2021-02-10 00,3
219,VF. OMU,527527,2021-02-11 00,0
220,VF. OMU,527527,2021-02-12 00,0
221,VF. OMU,527527,2021-02-13 00,5.1
222,VF. OMU,527527,2021-02-14 00,0
223,VF. OMU,527527,2021-02-15 00,0
224,VF. OMU,527527,2021-02-16 00,6.9
225,VF. OMU,527527,2021-02-17 00,0
226,VF. OMU,527527,2021-02-18 00,0
227,VF. OMU,527527,2021-02-19 00,7.8
228,VF. OMU,527527,2021-02-20 00,0
229,VF. OMU,527527,2021-02-21 00,9.5
230,VF. OMU,527527,2021-02-22 00,10.1
231,VF. OMU,527527,2021-02-23 00,10.2
232,VF. OMU,527527,2021-02-24 00,6.1
233,VF. OMU,527527,2021-02-25 00,9.4
234,VF. OMU,527527,2021-02-26 00,9.7
235,VF. OMU,527527,2021-02-27 00,5.6
236,VF. OMU,527527,2021-02-28 00,0
